ciudad;ingpc;empleo;desempleo
10150;101.3333333;1;
10150;101.3333333;;
10150;88.25;1;
10150;88.25;;
10150;88.25;;
10150;88.25;;
10150;171.4285714;;
10150;171.4285714;;
10150;171.4285714;1;
10150;171.4285714;1;
10150;171.4285714;;
10150;171.4285714;;1
10150;171.4285714;;
10150;100;;1
10150;100;;1
10150;174.3636364;1;
10150;174.3636364;1;
10150;174.3636364;1;
10150;174.3636364;1;
10150;174.3636364;1;
10150;174.3636364;;
10150;174.3636364;;
10150;174.3636364;;
10150;174.3636364;;
10150;174.3636364;;
10150;174.3636364;;
10150;674;1;
10150;674;1;
10150;674;1;
10150;674;1;
10150;1395.5;1;
10150;1395.5;1;
10150;249.5714286;1;
10150;249.5714286;1;
10150;249.5714286;1;
10150;249.5714286;1;
10150;249.5714286;;
10150;249.5714286;;
10150;249.5714286;;
10150;213.3333333;;
10150;213.3333333;1;
10150;213.3333333;1;
10150;543;1;
10150;543;1;
10150;543;;
10150;543;;
10150;1000;1;
10150;550;;
10150;550;;
10150;225;1;
10150;225;;
10150;647.8333333;1;
10150;647.8333333;1;
10150;647.8333333;1;
10150;647.8333333;1;
10150;647.8333333;;
10150;647.8333333;;
10150;240;1;
10150;144.1666667;1;
10150;144.1666667;1;
10150;144.1666667;;
10150;144.1666667;;
10150;144.1666667;;
10150;144.1666667;1;
10150;262.6666667;1;
10150;262.6666667;1;
10150;262.6666667;1;
10150;262.6666667;;
10150;262.6666667;;
10150;262.6666667;;
10150;600;1;
10150;735;1;
10150;735;1;
10150;1457.5;;
10150;1457.5;1;
10150;1350;;
10150;254;1;
10150;254;1;
10150;429;;
10150;433;1;
10150;433;1;
10150;433;;
10150;433;;
10150;433;;
10150;246.25;;
10150;246.25;;
10150;246.25;;
10150;246.25;1;
10150;480.6666667;1;
10150;480.6666667;1;
10150;480.6666667;;
10150;602.3333333;1;
10150;602.3333333;1;
10150;602.3333333;1;
10150;478.75;1;
10150;478.75;1;
10150;478.75;1;
10150;478.75;;
10150;333.3333333;;
10150;333.3333333;;
10150;333.3333333;1;
10150;600;1;
10150;650;1;
10150;505;1;
10150;505;1;
10150;230;1;
10150;230;1;
10150;230;;
10150;230;;
10150;138.75;;
10150;138.75;1;
10150;138.75;;
10150;138.75;;
10150;600;1;
10150;354.25;;
10150;354.25;;
10150;354.25;1;
10150;354.25;;
10150;375.3333333;1;
10150;375.3333333;1;
10150;375.3333333;;
10150;298.8;1;
10150;298.8;1;
10150;298.8;;
10150;298.8;;
10150;298.8;;
10150;460;;
10150;460;;
10150;332.3333333;1;
10150;332.3333333;1;
10150;332.3333333;;
10150;200;1;
10150;200;;1
10150;200;;
10150;200;;
10150;166.6666667;;1
10150;166.6666667;;
10150;166.6666667;;
10150;181.8;1;
10150;181.8;1;
10150;181.8;;
10150;181.8;;
10150;181.8;;
10150;317;1;
10150;317;1;
10150;380;;
10150;380;1;
10150;380;1;
10150;340;;1
10150;340;1;
10150;265;1;
10150;265;1;
10150;265;;
10150;265;;
10150;293.6666667;1;
10150;293.6666667;;
10150;293.6666667;1;
10150;293.6666667;1;
10150;293.6666667;;
10150;293.6666667;;
10150;936;1;
10150;454;;
10150;454;1;
10150;386.75;1;
10150;386.75;;
10150;386.75;1;
10150;386.75;;
10150;507.5;1;
10150;507.5;1;
10150;507.5;;
10150;507.5;;
10150;360.5;1;
10150;360.5;1;
10150;360.5;;
10150;360.5;;
10150;360.5;1;
10150;360.5;1;
10150;760;1;
10150;1160;;
10150;1160;;
10150;1216.666667;;
10150;1216.666667;;
10150;1216.666667;1;
10150;1062.5;;
10150;1062.5;;
10150;1500;;
10150;2250;;
10150;2250;;
10150;800;1;
10150;330;1;
10150;330;1;
10150;170;1;
10150;1152.5;1;
10150;1152.5;1;
10150;354;1;
10150;354;;
10150;354;;
10150;180;;
10150;225.75;1;
10150;225.75;1;
10150;225.75;;
10150;225.75;;
10150;51.66666667;1;
10150;51.66666667;1;
10150;51.66666667;1;
10150;160;1;
10150;160;;
10150;160;;
10150;282.5;1;
10150;282.5;;
10150;153.3333333;1;
10150;153.3333333;;
10150;153.3333333;;
10150;160;1;
10150;160;;
10150;160;;
10150;160;;
10150;65;1;
10150;65;;
10150;148.5;;
10150;148.5;;
10150;148.5;1;
10150;148.5;1;
10150;148.5;1;
10150;148.5;;
10150;166.6666667;;
10150;166.6666667;;
10150;166.6666667;;
10150;318.6666667;1;
10150;318.6666667;1;
10150;318.6666667;;
10150;124.8;1;
10150;124.8;;
10150;124.8;;
10150;124.8;;
10150;124.8;;
10150;851.75;;
10150;851.75;1;
10150;851.75;1;
10150;851.75;1;
10150;499;1;
10150;499;;
10150;3000;;
10150;500;;
10150;740;1;
10150;712.5;;
10150;712.5;1;
10150;712.5;;
10150;712.5;;
10150;500;;
10150;300;1;
10150;1670;;
10150;1670;;
10150;563.3333333;1;
10150;563.3333333;1;
10150;563.3333333;;
10150;217.3333333;1;
10150;217.3333333;;
10150;217.3333333;;
10150;217.3333333;1;
10150;217.3333333;;
10150;217.3333333;;
10150;217.3333333;1;
10150;217.3333333;;
10150;217.3333333;;
10150;294.75;1;
10150;294.75;1;
10150;294.75;;
10150;294.75;;
10150;139;1;
10150;139;1;
10150;139;1;
10150;139;;
10150;139;;
10150;293.6666667;1;
10150;293.6666667;1;
10150;293.6666667;;
10150;900;;
10150;396.5;;
10150;396.5;;
10150;396.5;1;
10150;396.5;1;
10150;831.25;;
10150;831.25;;
10150;831.25;1;
10150;831.25;1;
10150;645;1;
10150;645;1;
10150;645;;
10150;645;;
10150;102;1;
10150;102;;1
10150;102;;
10150;102;1;
10150;102;;
10150;277;1;
10150;277;;
10150;277;;
10150;277;;
10150;277;1;
10150;285;1;
10150;285;;
10150;806;1;
10150;806;1;
10150;629;1;
10150;629;1;
10150;629;;1
10150;297.3333333;1;
10150;297.3333333;1;
10150;297.3333333;;
10150;455;1;
10150;395.8;1;
10150;395.8;1;
10150;395.8;;1
10150;395.8;;
10150;395.8;;
10150;644.2;1;
10150;644.2;1;
10150;644.2;1;
10150;644.2;;
10150;644.2;;
10150;173.3333333;1;
10150;173.3333333;;
10150;173.3333333;1;
10150;472.3333333;1;
10150;472.3333333;;1
10150;472.3333333;1;
10150;426.6666667;1;
10150;426.6666667;1;
10150;426.6666667;;
10150;269.1666667;1;
10150;269.1666667;1;
10150;269.1666667;1;
10150;269.1666667;1;
10150;269.1666667;;
10150;269.1666667;;
10150;360.6;1;
10150;360.6;1;
10150;360.6;1;
10150;360.6;;
10150;360.6;;
10150;768.6;1;
10150;768.6;1;
10150;768.6;;
10150;768.6;;
10150;768.6;;
10150;754.3333333;1;
10150;754.3333333;1;
10150;754.3333333;;
10150;573.8;1;
10150;573.8;1;
10150;573.8;;
10150;573.8;;
10150;573.8;;
10150;875.25;1;
10150;875.25;1;
10150;875.25;;
10150;875.25;1;
10150;634.25;1;
10150;634.25;1;
10150;634.25;;
10150;634.25;;
10150;151.8333333;1;
10150;151.8333333;1;
10150;151.8333333;1;
10150;151.8333333;;
10150;151.8333333;;
10150;151.8333333;;
10150;276.6666667;1;
10150;276.6666667;1;
10150;276.6666667;;
10150;1351;;
10150;1351;1;
10150;600;;
10150;600;;1
10150;237.5;1;
10150;237.5;;
10150;237.5;;
10150;237.5;1;
10150;496.6666667;;
10150;496.6666667;;
10150;496.6666667;1;
10150;496.6666667;1;
10150;496.6666667;;
10150;496.6666667;;
10150;1290;;
10150;141.6666667;;
10150;141.6666667;1;
10150;141.6666667;;
10150;300;;
10150;300;;
10150;300;;
10150;303.3333333;1;
10150;303.3333333;1;
10150;303.3333333;;
10150;168.6666667;;
10150;168.6666667;1;
10150;168.6666667;;
10150;140;1;
10150;140;1;
10150;475.6;1;
10150;475.6;1;
10150;475.6;1;
10150;475.6;;
10150;475.6;;
10150;302.3333333;1;
10150;302.3333333;1;
10150;302.3333333;;
10150;340.5;1;
10150;340.5;;
10150;332.5;1;
10150;332.5;1;
10150;635.5;1;
10150;635.5;1;
10150;635.5;1;
10150;635.5;;
10150;650;1;
10150;650;1;
10150;650;1;
10150;650;1;
10150;281.25;;
10150;281.25;;
10150;281.25;1;
10150;281.25;;
10150;200;;
10150;200;1;
10150;200;;
10150;236.3333333;1;
10150;236.3333333;;
10150;236.3333333;;
10150;500;;
10150;800;;
10150;377;1;
10150;377;1;
10150;377;1;
10150;377;;
10150;138;1;
10150;138;;
10150;138;;
10150;231.5;1;
10150;231.5;;
10150;286.75;1;
10150;286.75;1;
10150;286.75;1;
10150;286.75;;
10150;285.6666667;1;
10150;285.6666667;1;
10150;285.6666667;;
10150;272.75;1;
10150;272.75;;
10150;272.75;;
10150;272.75;;
10150;448;;
10150;448;1;
10150;448;;
10150;818.5;1;
10150;818.5;1;
10150;818.5;1;
10150;818.5;;
10150;1500;1;
10150;1500;;
10150;40;;
10150;40;;
10150;40;;
10150;551;1;
10150;551;;
10150;551;1;
10150;551;1;
10150;153.3333333;1;
10150;153.3333333;;
10150;153.3333333;;
10150;656.25;1;
10150;656.25;;
10150;656.25;1;
10150;656.25;;
10150;1150;;
10150;1150;;
10150;466.6666667;;
10150;466.6666667;;
10150;466.6666667;;
10150;625;1;
10150;625;;
10150;365.3333333;;
10150;365.3333333;;
10150;365.3333333;1;
10150;105.4;1;
10150;105.4;;
10150;105.4;;
10150;105.4;;1
10150;105.4;;
10150;479.2;1;
10150;479.2;1;
10150;479.2;;
10150;479.2;;
10150;479.2;;
10150;219;;
10150;219;1;
10150;165.6666667;1;
10150;165.6666667;1;
10150;165.6666667;;
10150;219.2;1;
10150;219.2;1;
10150;219.2;;
10150;219.2;;
10150;219.2;;
10150;650;1;
10150;122.75;1;
